,PC_1,PC_2,PC_3,PC_4,PC_5
2010-02-05,-13.51660238266828,-6.906155214801193,-1.0898109815876709,-0.698911720433465,0.13572660432996245
2010-02-12,-13.587119978818345,-7.069070862287125,-1.1555629973544495,-0.6595952959380494,0.12107873026749445
2010-02-19,-13.775718538864364,-7.187747833883906,-1.1653446228133526,-0.6176914183703016,0.13865277285436808
2010-02-26,-13.138744007215198,-7.035770420701614,-1.2333845361109679,-0.5605095254000603,0.08392564702364926
2010-03-05,-13.385772508370998,-7.112193271974944,-1.2235722885207738,-0.6033731382216128,0.1088626076932465
2010-03-12,-13.499901832544602,-7.081408171107804,-1.1960261488825499,-0.6278237640038741,0.12856174861592456
2010-03-19,-13.290256908809708,-7.031680334693395,-1.278420533672547,-0.636225061810053,0.09820373744596333
2010-03-26,-13.310366179312311,-7.01165385719816,-1.1778180849733657,-0.543512463866088,0.1050635843347824
2010-04-01,-13.05892970618043,-6.819013143456026,-1.176465325124412,-0.45772615207348066,0.10045800661889842
2010-04-09,-13.270037681795602,-6.909208085359224,-1.17651107165728,-0.5942995710483457,-0.04241800648765649
2010-04-16,-13.118000450996824,-6.958518687141016,-1.3204257152879784,-0.6341092176936687,-0.08044320166809454
2010-04-23,-13.042697085676853,-6.894382858373008,-1.269840157257837,-0.5987355220661844,0.03592469115787608
2010-04-30,-12.698056821430379,-6.703579338351271,-1.2247345720708493,-0.4924486927450377,0.03227072618117434
2010-05-07,-12.170224059693162,-6.963518209848431,-1.6443123608941337,-0.5816668507860994,-0.10033646917728177
2010-05-14,-12.266160202929049,-7.028024424763317,-1.6968892288734425,-0.7453622169696174,-0.16093363389859963
2010-05-21,-11.709005446077361,-6.5679159231489015,-1.5871645241546326,-0.7783511492387187,-0.0026674302092135884
2010-05-28,-11.107340384468992,-6.5331918980281305,-1.4530193144324515,-0.522250722324632,-0.23111374628415532
2010-06-04,-11.14863833443584,-6.564086234804812,-1.4158663212008633,-0.44162147258663165,-0.18480376254837208
2010-06-11,-11.076077729690923,-6.543839205710114,-1.4108442684174398,-0.38017247976348434,-0.20765650253856097
2010-06-18,-11.476463593761446,-6.599851288870319,-1.3574577459752726,-0.45352234198968133,-0.1879190203306192
2010-06-25,-11.343715482938805,-6.434809004445423,-1.4312702921285188,-0.4343557208289327,-0.10578383406700934
2010-07-02,-11.147273481484502,-6.126645703003314,-1.4615542252930478,-0.40670950322754396,-0.09281719114806106
2010-07-09,-11.179124007412616,-5.932693754527107,-1.4484129915478312,-0.42113481680359377,-0.07953294134017241
2010-07-16,-11.201844900522117,-5.884582206830605,-1.3870469297555545,-0.3786118970748337,-0.02001799251811523
2010-07-23,-11.368143995712309,-5.959884706914849,-1.4339982321750784,-0.43085170344075013,-0.1739014109315448
2010-07-30,-11.418401292436485,-5.968971237270809,-1.4153138843211066,-0.5309798732251454,-0.09878734373357856
2010-08-06,-10.849836215537092,-5.63202043751116,-1.4700620344167268,-0.5081388887009356,-0.09234189767870797
2010-08-13,-10.45781153419653,-5.731858038152452,-1.5789191450972306,-0.4739059404013058,-0.09517060001387391
2010-08-20,-9.79204131439364,-5.326906205908462,-1.3686112609438796,-0.3545171949264197,-0.10481735308802319
2010-08-27,-9.123271328891464,-4.787331036005891,-1.1072241168437404,-0.18045783242598007,-0.06988766321101506
2010-09-03,-10.021598415257465,-5.396690556068333,-1.361864237654079,-0.3744241190376268,-0.10569083199434584
2010-09-10,-10.13746073741037,-5.308599407623063,-1.234684476304754,-0.400860217078796,-0.09140726661883282
2010-09-17,-10.463304277372538,-5.396594579242294,-1.2430758304088152,-0.4365855226029344,-0.07851874601741952
2010-09-24,-10.213927923328434,-5.349927946081129,-1.3130604116764484,-0.41565614948057233,-0.03278095509445286
2010-10-01,-10.425392711665149,-4.964981404888858,-1.2427778815333557,-0.33922752019095975,-0.02580516179124068
2010-10-08,-10.195771878924544,-4.994128571497999,-1.3489400174672488,-0.3696346702641738,-0.020433404111487703
2010-10-15,-10.440139748158204,-5.141104808305162,-1.460751550497376,-0.35064428820046745,-0.019257991401790586
2010-10-22,-10.836145385379822,-4.9380787160807085,-1.214030611885766,-0.31659613218038873,0.03633057731206303
2010-10-29,-10.984464857673942,-4.949488913957088,-1.203337170985087,-0.2578933011604763,0.010593229702492542
2010-11-05,-10.723295071087845,-4.916971147231424,-1.3390603882634158,-0.2354582093225317,0.0492159313127195
2010-11-12,-11.018925668460682,-5.091924762155619,-1.2948189066563118,-0.23957781042746246,0.09914990811238997
2010-11-19,-11.654388355523425,-5.376820071965908,-1.1711118325595755,-0.28282959541074487,0.04946318624617172
2010-11-26,-11.658416205987391,-5.588429945628462,-1.1775453125829616,-0.2856946199049399,-0.07717660247716532
2010-12-03,-12.127827756485232,-5.986322895940252,-1.1794153574157769,-0.20666949781271246,-0.1601168839617252
2010-12-10,-12.331999839472198,-5.912201426808438,-0.9805826538084678,-0.2715478076165257,-0.12762005752617536
2010-12-17,-12.67199497257283,-6.167857987339485,-1.0349995095599194,-0.3617037815540826,-0.13934656618648525
2010-12-24,-12.314873088410833,-6.2150724899125285,-1.0735671523888173,-0.29528956306161575,-0.1281483986654064
2010-12-31,-12.312852407252457,-6.297141579693297,-1.1159561248998466,-0.21275004496272487,-0.1432104314073563
2011-01-07,-12.251434291581905,-6.284966720564352,-1.1011972150781377,-0.2742766615838764,-0.08869991629966725
2011-01-14,-12.574246493100807,-6.057761293924752,-0.8849227757556918,-0.3245960265751677,0.0478339429880484
2011-01-21,-13.278875200189047,-6.082453024869752,-0.8062684923028253,-0.4363185894368039,-0.019449091719525472
2011-01-28,-13.509372075535756,-5.871094196391192,-0.7370816752984685,-0.4510245256873458,0.03268015637585476
2011-02-04,-13.652094750503947,-6.050064797018039,-0.8273199392521084,-0.43755247808973347,0.07663194837674896
2011-02-11,-13.820250439818382,-6.118532769339405,-0.8755353888380021,-0.48318324666490614,0.07108824295594368
2011-02-18,-13.705519467434831,-6.100086746813241,-0.8823908724663406,-0.5045748831720807,0.06894550626878372
2011-02-25,-13.476257925040713,-5.765681351258893,-0.8202029699239417,-0.4258471931896266,0.13137264909764504
2011-03-04,-14.16575747694617,-5.68268982780329,-0.7245539785278414,-0.6044882164915938,-0.010203851152003162
