,PC_1,PC_2,PC_3
2009-02-02,-16.00992075773792,-5.187337400111123,-0.539892804182244
2009-02-03,-15.879808228553062,-5.248764808265763,-0.5345660274634004
2009-02-04,-16.20277485511231,-5.332824690314332,-0.5664804565168957
2009-02-05,-15.970485723132404,-5.473165771228205,-0.6661236564206682
2009-02-06,-16.034126938981377,-5.577226768509365,-0.5679659040354822
2009-02-09,-15.997322064030325,-5.47292332287202,-0.4834858783697766
2009-02-10,-15.909805773430444,-5.44421188573183,-0.5603881382275159
2009-02-11,-15.63712205444748,-5.388874075543195,-0.602205049266957
2009-02-12,-15.251221876043289,-5.317059903024318,-0.6852041486911554
2009-02-13,-15.361969719088899,-5.304424100379738,-0.6104201186640722
2009-02-16,-15.184403355407381,-5.310680714005353,-0.6223248554421916
2009-02-17,-15.124046334122301,-5.382046067717591,-0.7206714195083822
2009-02-18,-15.21281089163195,-5.392706958342919,-0.7863293895428314
2009-02-19,-15.712220022711731,-5.476262381228574,-0.7231204982811391
2009-02-20,-15.493272540551704,-5.465411459054722,-0.734235412617977
2009-02-23,-15.430806588438012,-5.454260037228636,-0.7725984904191298
2009-02-24,-15.2355732156412,-5.46719132643235,-0.767638534264839
2009-02-25,-15.195296311822473,-5.529177343664606,-0.7602205839591104
2009-02-26,-15.641419603990759,-5.618355509404857,-0.6338067627981149
2009-02-27,-15.457658213550024,-5.598722113815744,-0.6499099170406194
2009-03-02,-15.402428256016584,-5.687357491148769,-0.7145150204422701
2009-03-03,-15.459710952892399,-5.802453751856378,-0.6898073667722507
2009-03-04,-15.688271749194453,-6.012887461661536,-0.7629307259171033
2009-03-05,-15.348760212633115,-5.813412656241284,-0.7252115631253533
2009-03-06,-15.16860324900165,-5.684914760531477,-0.6702802483056831
2009-03-09,-15.12112393242189,-5.523900240648891,-0.6000239366056818
2009-03-10,-15.283607468528599,-5.562115481023819,-0.5558181300348742
2009-03-11,-15.650251789244251,-5.633108085130138,-0.5684351305307316
2009-03-12,-15.427818510536406,-5.642255097418045,-0.6487689155869022
2009-03-13,-15.68520615695288,-5.796832042479417,-0.724863795103825
2009-03-16,-15.748548500717503,-5.884572528338846,-0.7447659060876285
2009-03-17,-15.96014268229854,-5.966942447974079,-0.7241224440953823
2009-03-18,-15.956820019943232,-5.920961152877132,-0.6051965844901924
2009-03-19,-15.621690810979478,-5.7414826452933525,-0.6128683854251783
2009-03-20,-15.32556278071408,-5.752039428780405,-0.7077400871617932
2009-03-23,-15.325197773452684,-5.695345491377511,-0.653807304575408
2009-03-24,-15.645453101871734,-5.7787600461102056,-0.6892234612381785
2009-03-25,-15.697124285511586,-5.7971274859259765,-0.6976442975241467
2009-03-26,-15.646994882381595,-5.7584133873067325,-0.6838450358052435
2009-03-27,-15.281624361878613,-5.701134106287731,-0.6227485042325244
2009-03-30,-15.1713107091583,-5.751916505972347,-0.6382388826020875
2009-03-31,-15.088103171501395,-5.728909985997971,-0.6270050967834565
2009-04-01,-15.120145658231175,-5.827580869528875,-0.6663853777492337
2009-04-02,-15.537455745543049,-5.808924901318275,-0.65544479227926
2009-04-03,-15.650382057199128,-5.747227202149968,-0.5846521425152756
2009-04-06,-15.782866208809018,-5.823086629030186,-0.6069011933014569
2009-04-07,-15.742283403499375,-5.9111757427518015,-0.622310899390001
2009-04-08,-15.669487287768746,-5.863967418108124,-0.5705572113949702
2009-04-09,-15.840876188019132,-5.9398649165865685,-0.6157818034695912
2009-04-14,-15.62518293837259,-5.885900760606915,-0.6699274588332143
2009-04-15,-15.496562617223491,-5.907491806750617,-0.7604645429571292
2009-04-16,-15.672791452911351,-5.853433697300622,-0.7170612547792278
2009-04-17,-15.780345535225438,-5.771447866714014,-0.6891715286986382
2009-04-20,-15.581678901241293,-5.67749399924186,-0.7361900709550042
2009-04-21,-15.384005488131393,-5.611015437220626,-0.7447253266424266
2009-04-22,-15.553054259468471,-5.629122379807681,-0.7059570952369533
2009-04-23,-15.454714342780203,-5.6206028474218686,-0.6333316114695443
2009-04-24,-15.450759237554253,-5.710341939296497,-0.6335736911353911
2009-04-27,-15.217892483011651,-5.70061915258662,-0.7092259060258174
2009-04-28,-15.18830291290671,-5.700908296715814,-0.6604987322067177
2009-04-29,-15.122920532803363,-5.7029922897067635,-0.6240519306945598
2009-04-30,-15.117528763832745,-5.638872203190376,-0.5563609451077147
2009-05-04,-15.275528904688601,-5.773864024688732,-0.6461272772100253
2009-05-05,-15.210004676899173,-5.733467364837917,-0.6253807045034518
2009-05-06,-15.223727643775943,-5.8143639478532,-0.6497691695032778
2009-05-07,-15.730396118820352,-6.036528420765228,-0.6036072000994351
2009-05-08,-15.793927501325824,-6.201199253638163,-0.6979052976795111
2009-05-11,-15.56702121444487,-6.095745847775517,-0.7206565126778105
2009-05-12,-15.710783385576892,-6.099804937157109,-0.6957950747406949
2009-05-13,-15.546182250262408,-6.2095348684034075,-0.8184655056813886
2009-05-14,-15.581150006195648,-6.215785367668205,-0.812028787161737
2009-05-15,-15.628518861761522,-6.231956741775944,-0.7410781585168452
2009-05-18,-15.602337299650445,-6.274500214934093,-0.7571079155724446
2009-05-19,-15.860418474599529,-6.242258018560058,-0.7320567036713775
2009-05-20,-15.957687735087275,-6.151184463626074,-0.7575089809438245
2009-05-21,-15.795368629223953,-6.154594166986019,-0.8454783232071744
2009-05-22,-16.09883272461802,-6.2500091366275985,-0.7857986789330822
2009-05-25,-16.4227357700055,-6.236424947575854,-0.7121562234446588
2009-05-26,-16.361319943391056,-6.206927413494434,-0.6978601141639857
2009-05-27,-16.518774007961188,-6.219873704558094,-0.6292273080315698
2009-05-28,-16.61183988578532,-6.266553642009614,-0.5761017563677243
2009-05-29,-16.547741654334033,-6.347516840197042,-0.5922180602683957
2009-06-01,-16.641504321962337,-6.4175995097986185,-0.6342608313326583
2009-06-02,-16.667256811617833,-6.492148229400243,-0.7030112563256448
2009-06-03,-16.283969876542827,-6.297074608760285,-0.6784250544350796
2009-06-04,-16.637497267370964,-6.223637377019735,-0.5623444587664794
2009-06-05,-16.800534557319946,-6.046929917104149,-0.39681300863812613
2009-06-08,-16.73251360132357,-5.892619630128083,-0.34331307499385433
2009-06-09,-16.62139445628375,-5.867735782127494,-0.33893490490340505
2009-06-10,-16.67053293073985,-5.945557801391467,-0.320281601440344
2009-06-11,-16.923352438709056,-6.087732644226835,-0.28983771606493125
2009-06-12,-16.61696211294935,-6.045486748438172,-0.35152940176899666
2009-06-15,-16.447470839635454,-6.028662221476524,-0.4828126319868377
2009-06-16,-16.452342357476372,-6.083560524079759,-0.5454032279649754
2009-06-17,-16.315870308757017,-6.136788765058743,-0.6117282241864825
2009-06-18,-16.472531236473408,-6.246364500415304,-0.5241526157847559
2009-06-19,-16.549330447378736,-6.328511749156837,-0.63059501923524
2009-06-22,-16.197614738900477,-6.219698390235377,-0.6259322110514559
2009-06-23,-16.281602765412934,-6.241843455457247,-0.630777636948014
2009-06-24,-16.161609634031407,-6.41475644801491,-0.6470066497653063
2009-06-25,-16.049979276296707,-6.481256963006236,-0.6829389625874853
2009-06-26,-15.915916344231219,-6.396504178869644,-0.7035279941105548
2009-06-29,-15.871904364341283,-6.256886428219312,-0.7269529018505806
2009-06-30,-15.909775628393453,-6.245799522093857,-0.6100075065450524
2009-07-01,-15.871025522313962,-6.2507206116029055,-0.6448014969963638
2009-07-02,-15.60830327358942,-6.349144869371496,-0.6766749018686516
2009-07-03,-15.549764305678076,-6.320812060172619,-0.6141576656321667
2009-07-06,-15.396412825794904,-6.27139256409358,-0.6039828872172723
2009-07-07,-15.429628043248844,-6.3130897142248585,-0.6025895588566726
2009-07-08,-15.431549837504411,-6.347287327150464,-0.5703181372261539
2009-07-09,-15.424257804012926,-6.3083927396406185,-0.5202275027960487
2009-07-10,-15.291467049663321,-6.313578526045637,-0.5858992442905112
2009-07-13,-15.12253521240149,-6.194412208337313,-0.4958403267555897
2009-07-14,-15.280951859201451,-6.191620899703283,-0.39913839515408184
2009-07-15,-15.396368125706804,-6.235534864229761,-0.3948269489279676
2009-07-16,-15.345859911849436,-6.310253969853639,-0.4039153778526699
2009-07-17,-15.510796951963686,-6.397783150332474,-0.41682695688294263
2009-07-20,-15.671096586269279,-6.417351751615336,-0.4306682681399203
2009-07-21,-15.608455943780681,-6.431127396908104,-0.4735100258482588
2009-07-22,-15.507688128059062,-6.411306390598958,-0.5220767587293493
2009-07-23,-15.49820777779424,-6.415420255895355,-0.5403539673284554
2009-07-24,-15.569404829727892,-6.361005257119279,-0.4774509605533011
2009-07-27,-15.73996934753961,-6.3678339899916185,-0.455134299572884
2009-07-28,-15.500593929823205,-6.271344174551886,-0.47793181293183945
2009-07-29,-15.341399153403202,-6.205009382777912,-0.46636991440675063
2009-07-30,-15.24700632198117,-6.140667715485317,-0.4249288813694271
2009-07-31,-14.851604231834466,-5.977318825987168,-0.4210408015258309
2009-08-03,-14.945417908176735,-5.967456442643547,-0.3987284932828145
2009-08-04,-14.968276960835084,-5.903791114182471,-0.37030254150165376
2009-08-05,-15.036003801887857,-5.789180642535616,-0.25719085972633443
2009-08-06,-15.07235069287758,-5.761756716579244,-0.21074813649556476
2009-08-07,-15.326012403894065,-5.794915272583917,-0.15384430973095556
2009-08-10,-15.32456329973017,-5.80922644728351,-0.1678114822311306
2009-08-11,-15.128278784550819,-5.835659552209877,-0.24727640972463938
2009-08-12,-15.245684123372143,-5.9066190151248055,-0.22491271400445326
2009-08-13,-15.09531848131097,-5.945554394314207,-0.27049379123166134
2009-08-14,-14.88427715166358,-5.93679908439972,-0.3439746536330734
2009-08-17,-14.751132885055137,-5.862805882825136,-0.3373892569933374
2009-08-18,-14.761471954081543,-5.844499370295067,-0.3326194818318444
2009-08-19,-14.615153543151399,-5.808107027201169,-0.3393659298725398
2009-08-20,-14.628153489661353,-5.81735686615033,-0.3454802460138064
2009-08-21,-14.73097656584607,-5.75604282010564,-0.3107255842965563
2009-08-24,-14.797769847370416,-5.800985578330638,-0.29494621368841606
2009-08-25,-14.72897940440875,-5.856698318786521,-0.3652838442242793
2009-08-26,-14.589660191662563,-5.8113607318484295,-0.3965069213655202
2009-08-27,-14.575394098655547,-5.819380677079763,-0.39092494297692015
2009-08-28,-14.692440363724709,-5.893314228571385,-0.38928447043987474
2009-08-31,-14.721871953154556,-5.904944957428464,-0.3742128831955441
2009-09-01,-14.792839548598947,-5.980383684782931,-0.3752359259877388
2009-09-02,-14.73039776561563,-5.994603712085581,-0.430948951724623
2009-09-03,-14.870008568034606,-6.16270230430227,-0.4514563098632835
2009-09-04,-14.684039412414796,-6.093079053555746,-0.45027343852703244
2009-09-07,-14.75973885348827,-6.218543881196228,-0.4976057621433786
2009-09-08,-14.89205188061463,-6.288524912775001,-0.502750495728149
2009-09-09,-15.126661722535824,-6.387913801680485,-0.5534885028990086
2009-09-10,-14.89995046357707,-6.352993972955644,-0.6324322576923804
2009-09-11,-14.753719278695232,-6.265795878797294,-0.6071439070654538
2009-09-14,-14.659576685441966,-6.157623473453039,-0.5622693475925472
