,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2015-12-18,1.9903673706015437,-2.435367370628208,20.01639936030389,-24.01136845692509,1.5669779120299736,1.7141202641462174
2015-12-21,1.9955916101027151,-2.439591610125341,20.00273904403159,-24.025249809448965,1.5711978712478991,1.7194744425500366
2015-12-22,2.046950991902784,-2.494950991892967,20.00569298047192,-24.020747564434036,1.5917423493345282,1.7382336099219309
2015-12-23,2.155344506618807,-2.6123445066391535,19.956794462557298,-24.066795559642852,1.6371552922095918,1.7847976831586136
2015-12-28,2.1114176018019624,-2.562417601804869,19.985365823909255,-24.038009568085837,1.6270174304867675,1.7724716286612612
2015-12-29,2.190130397268768,-2.6651303972567977,19.970733402070245,-24.05071653168368,1.6681061100141938,1.815465254680267
2015-12-30,2.2299176947631247,-2.717917694826129,19.912501175682724,-24.10930452807353,1.660984472799783,1.8155398063302284
2016-01-04,2.142562216038209,-2.6495622160438588,19.95323842061483,-24.06778659725387,1.6568604917610736,1.814525488884499
2016-01-05,2.1549488387762645,-2.66094883870245,19.918749363034145,-24.102527185259277,1.6536822015738917,1.814610322464002
2016-01-06,2.1278919022419567,-2.643891902250699,19.932320209184155,-24.088510506065642,1.672715373499686,1.835135355606364
2016-01-07,2.180033479220424,-2.6820334792191627,19.896829320646038,-24.122853551959068,1.6860403498970389,1.8433113638604035
2016-01-08,2.142886139078594,-2.6598861390627957,19.92734194271939,-24.091998780378972,1.6917137186982276,1.8486352040072231
2016-01-11,2.139601644690086,-2.6436016447042014,19.935410947263602,-24.083474555699638,1.666377098331825,1.817670997650234
2016-01-12,2.1107166692541792,-2.625716669219938,19.986164283522605,-24.031901218701915,1.6303471964337244,1.7753175795572238
2016-01-13,2.0420822887771592,-2.5270822887347943,19.998903457209344,-24.01539398516437,1.6414973892949267,1.7847999382726147
2016-01-14,2.0212993189421726,-2.489299318951543,19.984794767218432,-24.02842717440367,1.6617815620296883,1.805567109728992
2016-01-15,2.0204518094762918,-2.4874518094938267,19.969630942389085,-24.0436578034702,1.6640307914610084,1.812746983861446
2016-01-18,2.050015236068855,-2.5210152360589912,19.9577848508301,-24.055609832526283,1.6814405671923571,1.833928157907256
2016-01-19,2.0917405654826733,-2.5602649906805466,19.898000488907524,-24.11575503221196,1.6355518284221473,1.8005720372362726
2016-01-20,1.9634561722158819,-2.413456172161227,19.97891399295034,-24.032100708379,1.658394732480307,1.8092541016014825
2016-01-21,1.9204672393662092,-2.38646723937656,19.952265606166197,-24.059727359153825,1.657113579905633,1.8095243812788733
2016-01-22,2.0365014308477254,-2.4905014308393434,19.841654884653472,-24.168340932872947,1.6388002088239977,1.7988833246917029
2016-01-25,1.9927097605757944,-2.4477097604652798,19.890410310925187,-24.119191180168386,1.6519436870324713,1.808991808198355
2016-01-26,1.9451661429719183,-2.3991661429918425,19.903487768548047,-24.105469496267986,1.6357825379428697,1.7926794577456395
2016-01-27,1.949487070079254,-2.3974870700906767,19.912997575093968,-24.095977540030503,1.6320817951260376,1.7903367102202716
2016-01-28,1.8745304948424897,-2.327530494811,19.964803179417924,-24.039847724440133,1.6500490147791624,1.80766132999822
2016-01-29,1.8029791202018501,-2.2739791202454263,19.978635863182408,-24.025623575814233,1.645205085712421,1.804327291595424
2016-02-01,1.7917190580990725,-2.2660082633601184,20.005510778439874,-23.99856937663301,1.6486327240944094,1.8113711722693255
2016-02-02,1.7577232404830283,-2.2183383512994195,20.015478045251488,-23.988553394336858,1.6702356974489936,1.8288265623112625
2016-02-03,1.7540684031260516,-2.216068403115147,20.01759968695349,-23.986416331284033,1.6787885841823134,1.8339015300276265
