,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2012-05-11,2.229200600636791,-2.140255079843846,24.225731139601297,-22.289653150718586,4.466162863410421,3.641159949106295
2012-05-18,2.5528482932164835,-2.4580135907982608,23.524438541785322,-22.980653014634896,3.861007243842969,3.2766710117758113
2012-05-25,2.144269445318522,-2.0782039223630657,23.85425796633089,-22.661718324088692,4.213850179090528,3.5210292078448777
2012-06-01,1.7370187163445132,-1.628872718962244,23.89608309578848,-22.613451757400952,4.4848580554860185,3.741775043076241
2012-06-08,2.1460276425968785,-2.0704443417368186,23.79371311948237,-22.70320704325852,4.140683369539369,3.491152116355023
2012-06-15,2.473093045347189,-2.3993051270494314,23.599715965345588,-22.884047736935848,4.032270905888463,3.418446808087289
2012-06-22,2.6904496131701703,-2.646185646429012,23.511827566453906,-22.968984141555207,3.911957272717917,3.355285094550661
2012-06-29,2.8398056580225237,-2.7783106108081217,23.40655987684723,-23.071801227583684,3.888396621399076,3.3150342630189176
2012-07-06,2.9235354818093358,-2.8125886518648384,22.594955457971164,-23.865706621889345,3.7185512366770204,3.1883440219372337
2012-07-13,2.020263214378325,-1.9583977114878328,23.777900164052273,-22.718938939558345,4.589642936964026,3.6725557899649126
2012-07-20,2.2155900954755183,-2.131769762732286,23.253158275283713,-23.231189021711746,4.298659997710861,3.555698062242929
2012-07-27,2.3624473661777614,-2.301629730606493,23.403728068116607,-23.05019065786137,4.263868644847928,3.515232832208839
2012-08-03,2.2028602963358868,-2.103801829669875,23.37525417274121,-23.07660757380188,4.368576386811576,3.5752171823129637
2012-08-10,2.194586226563815,-2.1130776153378763,23.3838954037535,-23.06774945653497,4.373113533974712,3.5583321625009168
2012-08-17,2.3301993897348434,-2.2117556436454753,23.281542150323208,-23.16665726240439,4.084934600271302,3.3346932714739705
2012-08-24,1.8610672722849657,-1.82592563134994,23.906933306150407,-22.555834583247105,4.64780082498574,3.744652010187998
2012-08-31,1.9794516639042732,-1.8807664569887859,23.73722823484742,-22.72352749657164,4.495341653863221,3.6039217642989234
2012-09-07,1.5701561554531414,-1.5085972611781924,24.720043215623768,-21.75895126952146,5.318467465524142,4.0853686722216
2012-09-14,1.7132840590889895,-1.6377887901456714,24.78295718197649,-21.699333284619694,5.381320976895479,4.1367635277927315
2012-09-21,1.4109249827120265,-1.3738424311729858,25.10581975137143,-21.388696934224072,5.594586486244649,4.241689388312967
2012-09-28,1.0186628856439637,-0.9596639539207894,25.313039021315497,-21.19366094800501,5.823819838539529,4.356405503572093
2012-10-05,1.43161337445419,-1.3644279183151955,24.917415725844194,-21.56439526065711,5.513784492935742,4.201545639195495
2012-10-12,1.3648767303898983,-1.3074214293173507,24.860219726462603,-21.62047313803396,5.5463852095851855,4.24551826442948
2012-10-19,1.518318140780414,-1.4823112460461496,24.94426935140819,-21.535978037566768,5.575553738031912,4.32753291677905
2012-10-26,1.4771439067268708,-1.4320221847493817,24.90186443120073,-21.57645385123575,5.594242497302065,4.309029123202747
2012-11-02,1.3560904535621003,-1.3009212520527251,24.868392388977,-21.60813114921673,5.520694696614775,4.232350437384138
2012-11-09,1.2862361680584429,-1.2179179094249182,24.76122141243084,-21.71462541171581,5.573263876725353,4.248154386632529
2012-11-16,1.3534251218934714,-1.2859154298931583,24.750894783587054,-21.72385145382195,5.716127215756957,4.351741126694178
2012-11-23,1.4564819119071308,-1.3993439245730717,24.84111011435323,-21.632208072547535,5.741209533392897,4.37667580599477
2012-11-30,1.4610216617556715,-1.3809533589707836,24.68014900328411,-21.874050872017477,5.705999549202451,4.396246026221398
2012-12-07,1.3446803660141595,-1.2361417374825203,24.607909342411073,-21.93656286555297,5.708485594564241,4.312172875128978
2012-12-14,1.3079440456471296,-1.1900444622287023,24.611048883210678,-21.931965096320194,5.624486421344714,4.2478049313217205
2012-12-21,1.3349367700713235,-1.2301348572542825,24.642031597693947,-21.899486626969466,5.593100153644315,4.264809598683153
2012-12-28,1.2389217968319577,-1.116785376543108,24.598621901693782,-21.94185759873777,5.536910519063011,4.217352867169178
2013-01-04,1.5434014422457782,-1.494046706232287,24.83388656279399,-21.679495364082623,5.673461880430086,4.402979204359559
2013-01-11,1.5799455053758942,-1.5098754910186434,24.854773256009285,-21.65646602166472,5.689079770349133,4.42289175887352
2013-01-18,1.1926691173851869,-1.1423131318093398,25.372105695775126,-21.160184914572717,6.156888343373049,4.83313988364484
2013-01-25,1.2762596240330275,-1.2069809788919033,25.414484878026148,-21.112466567227518,6.235799792175487,4.9563610153268085
2013-02-01,0.6325724884517824,-0.5783322805640414,26.13647764277372,-20.406527314747475,6.618177083915473,5.067829271620701
2013-02-08,0.6496381171203162,-0.6115645603814129,26.141098657874533,-20.398822595032808,6.671601123559553,5.043082854532363
2013-02-15,0.6923808551565191,-0.6654101665841241,26.170846989063353,-20.371398300639807,6.667032762944403,5.024395982880278
2013-02-22,0.6361874042753835,-0.5994407709326941,26.107280175643247,-20.432163003375347,6.6548468375932135,4.940770787355628
2013-03-01,0.5200885621020082,-0.4665270828773624,25.929067004480014,-20.607796557037197,6.586869120410531,4.816386608260697
2013-03-08,0.6496142602637752,-0.6004350718276315,25.997202095851,-20.54109630907236,6.733451505146184,4.983287576415006
2013-03-15,0.5407990811382288,-0.4538921019645754,25.991386461677532,-20.546497656940282,6.790515512333063,4.918911344186505
2013-03-22,0.4669887240606034,-0.3934627617177873,25.931597947103022,-20.603930173905603,6.7344213041310015,4.936244587087312
2013-03-28,0.4539397061507994,-0.3880944208081007,25.92549119183365,-20.61154355788415,6.784687196059521,4.9438993617521945
2013-04-05,0.01,0.0663158305031285,26.22017540652668,-20.369618415561074,7.340802930874195,5.300032726999998
2013-04-12,0.11819613512233255,-0.057776599189074324,26.26788243118416,-20.31718968600513,7.269834787286617,5.270898601954934
2013-04-19,0.018050683153150296,0.04490796140420095,26.38787632979556,-20.21501651797812,7.450567037554147,5.368694737818272
